Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote
PES,Pioneer Energy Services Corp.,2.5,194297552.5,n/a,United States,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pes
PXD,Pioneer Natural Resources Company,144.01,24495750336,n/a,United States,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pxd
PAA,"Plains All American Pipeline, L.P.",21.58,15638955541,n/a,United States,1998,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/paa
PUMP,ProPetro Holding Corp.,13.05,1083670095,n/a,United States,2017,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/pump
PRO,"PROS Holdings, Inc.",23.69,753079799.1,n/a,United States,2007,Technology,EDP Services,http://www.nasdaq.com/symbol/pro
PB,"Prosperity Bancshares, Inc.",61.54,4276184563,n/a,United States,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/pb
NX,Quanex Building Products Corporation,21.05,731313121.8,n/a,United States,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/nx
PWR,"Quanta Services, Inc.",37.12,5611952493,n/a,United States,n/a,Capital Goods,Engineering & Construction,http://www.nasdaq.com/symbol/pwr
RRC,Range Resources Corporation,18.92,4694662189,n/a,United States,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/rrc
RNGR,"Ranger Energy Services, Inc.",14.51,221703107.3,n/a,United States,2017,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/rngr
REN           ,Resolute Energy Corporation,29.76,668974921,n/a,United States,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ren
RDC,Rowan Companies plc,11.41,1440409422,n/a,United States,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/rdc
SBR,Sabine Royalty Trust,39.9,581715865.5,n/a,United States,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sbr
SMM,Salient Midstream & MLP Fund,11.26,199554775.7,n/a,United States,2012,n/a,n/a,http://www.nasdaq.com/symbol/smm
SBH,"Sally Beauty Holdings, Inc.",18.95,2489531861,n/a,United States,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/sbh
SJT,San Juan Basin Royalty Trust,8.15,379861687.4,n/a,United States,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sjt
SN,Sanchez Energy Corporation,4.61,383303451.9,n/a,United States,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sn
SDT,SandRidge Mississippian Trust I,1.27,35560000,n/a,United States,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sdt
PER,SandRidge Permian Trust,2.75,144375000,n/a,United States,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/per
WTTR,"Select Energy Services, Inc.",16.88,1160903111,n/a,United States,2017,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/wttr
SCI,Service Corporation International,35.02,6556812740,n/a,United States,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/sci
SHLX,"Shell Midstream Partners, L.P.",27.55,4887710766,n/a,United States,2014,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/shlx
SOI,"Solaris Oilfield Infrastructure, Inc.",16.42,710505698.6,n/a,United States,2017,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/soi
SXE,"Southcross Energy Partners, L.P.",2.24,175801552.6,n/a,United States,2012,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/sxe
LUV,Southwest Airlines Company,54.93,32879197367,n/a,United States,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/luv
SWN,Southwestern Energy Company,6.02,3065195279,n/a,United States,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/swn
SWNC,Southwestern Energy Company,14.59,0,n/a,United States,2015,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/swnc
SEP,"Spectra Energy Partners, LP",43.83,13602136849,n/a,United States,2007,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/sep
SSI,"Stage Stores, Inc.",1.91,52704673.7,n/a,United States,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/ssi
SCA,Stellus Capital Investment Corporation,25.42,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sca
SCM,Stellus Capital Investment Corporation,13.63,213206688.9,n/a,United States,2012,n/a,n/a,http://www.nasdaq.com/symbol/scm
STC,Stewart Information Services Corporation,35.6,845205303.2,n/a,United States,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/stc
SMLP,"Summit Midstream Partners, LP",20.8,1519626077,n/a,United States,2012,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/smlp
SUN,Sunoco LP,30.9,3580681618,n/a,United States,2012,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/sun
SYY,Sysco Corporation,53.37,28173049851,n/a,United States,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/syy
TLRD,"Tailored Brands, Inc.",13.56,667089488.4,n/a,United States,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/tlrd
NGLS^A,Targa Resources Partners LP,26.86,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ngls^a
TRGP,"Targa Resources, Inc.",46.96,10124813712,n/a,United States,2010,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/trgp
TISI,"Team, Inc.",13.1,390893664.1,n/a,United States,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/tisi
THC,Tenet Healthcare Corporation,16.32,1645391196,n/a,United States,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/thc
