Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote
PSB^T,"PS Business Parks, Inc.",25.13,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/psb^t
PSB^W,"PS Business Parks, Inc.",25.17,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/psb^w
PSA^C,Public Storage,25.45,0,n/a,United States,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/psa^c
PSA^D,Public Storage,24.89,0,n/a,United States,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/psa^d
PSA^E,Public Storage,24.59,0,n/a,United States,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/psa^e
PSA^F,Public Storage,25.23,0,n/a,United States,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/psa^f
PSA^W,Public Storage,25.23,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/psa^w
PSA^Y,Public Storage,26.99,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/psa^y
PSA^Z,Public Storage,26.4,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/psa^z
PSA^G,Public Storage,24.97,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/psa^g
PSA^V,Public Storage,25.14,0,n/a,United States,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/psa^v
PSA,Public Storage,213.71,37186128557,n/a,United States,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/psa
PSA^A,Public Storage,26.56,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/psa^a
PSA^B,Public Storage,26.07,0,n/a,United States,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/psa^b
PSA^T.CL,Public Storage,n/a,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/psa^t.cl
PSA^U,Public Storage,25.13,0,n/a,United States,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/psa^u
PSA^X,Public Storage,25.2048,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/psa^x
QTM,Quantum Corporation,6.16,212348505.6,n/a,United States,n/a,Technology,Electronic Components,http://www.nasdaq.com/symbol/qtm
O,Realty Income Corporation,57.57,15778513236,n/a,United States,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/o
RWT,"Redwood Trust, Inc.",16.21,1250059081,n/a,United States,1995,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/rwt
RS,Reliance Steel & Aluminum Co.,74.35,5420399761,n/a,United States,1994,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/rs
REXR^A,"Rexford Industrial Realty, Inc.",25.7,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rexr^a
REXR,"Rexford Industrial Realty, Inc.",29.51,2097926455,n/a,United States,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/rexr
RH,RH,72.22,1527611234,n/a,United States,2012,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/rh
RHI,Robert Half International Inc.,48.6,6132556445,n/a,United States,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/rhi
CRM,Salesforce.com Inc,94.94,68233378000,n/a,United States,2004,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/crm
SRE,Sempra Energy,115.94,29109939958,n/a,United States,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/sre
NOW,"ServiceNow, Inc.",115.81,19768767000,n/a,United States,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/now
SSNI,"Silver Spring Networks, Inc.",16.18,873364153.3,n/a,United States,2013,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/ssni
SSD,"Simpson Manufacturing Company, Inc.",47.73,2256359048,n/a,United States,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ssd
SJW,SJW Group,56.71,1162923275,n/a,United States,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/sjw
SKX,"Skechers U.S.A., Inc.",24.82,3932258214,n/a,United States,1999,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/skx
SFS,Smart,7.3,540349993.1,n/a,United States,2014,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/sfs
SNAP,Snap Inc.,13.7,16401016938,n/a,United States,2017,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/snap
SOR,"Source Capital, Inc.",39.93,344335556.4,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sor
SCE^G,Southern California Edison Company,25.25,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sce^g
SCE^H,Southern California Edison Company,27.49,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sce^h
SCE^K,Southern California Edison Company,28.1,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sce^k
SCE^L,Southern California Edison Company,25.24,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sce^l
SCE^J,Southern California Edison Company,27.15,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sce^j
SQ,"Square, Inc.",28.75,11031327649,n/a,United States,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/sq
SHO,"Sunstone Hotel Investors, Inc.",15.84,3569431932,n/a,United States,2004,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/sho
SHO^E,"Sunstone Hotel Investors, Inc.",27.15,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sho^e
SHO^F,"Sunstone Hotel Investors, Inc.",26.29,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sho^f
SUP,"Superior Industries International, Inc.",16.3,405944083.5,n/a,United States,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/sup
SNX,Synnex Corporation,116.1,4637000447,n/a,United States,2003,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/snx
TSI,"TCW Strategic Income Fund, Inc.",5.81,277061220.2,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/tsi
TRC,Tejon Ranch Co,21.21,442553734.1,n/a,United States,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/trc
TDY,Teledyne Technologies Incorporated,161.03,5689770735,n/a,United States,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/tdy
TRNO,Terreno Realty Corporation,36.35,1903378802,n/a,United States,2010,Finance,Real Estate,http://www.nasdaq.com/symbol/trno
SCHW^D,The Charles Schwab Corporation,26.99,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/schw^d
SCHW,The Charles Schwab Corporation,42.54,56966142509,n/a,United States,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/schw
SCHW^B,The Charles Schwab Corporation,25.39,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/schw^b
SCHW^C,The Charles Schwab Corporation,27.11,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/schw^c
TLYS,"Tilly&#39;s, Inc.",11.45,330022388.2,n/a,United States,2012,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/tlys
TPH,"TRI Pointe Group, Inc.",13.06,1976479321,n/a,United States,2013,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/tph
TWLO,Twilio Inc.,30.83,2833905254,n/a,United States,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twlo
VAR,"Varian Medical Systems, Inc.",105.19,9656536040,n/a,United States,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/var
PAY,"Verifone Systems, Inc.",20.45,2294517260,n/a,United States,2005,Miscellaneous,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/pay
V,Visa Inc.,105.56,2.41391E+11,n/a,United States,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/v
VMW,"Vmware, Inc.",109.15,44636595394,n/a,United States,2007,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/vmw
VCRA,"Vocera Communications, Inc.",29.84,868465985.9,n/a,United States,2012,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/vcra
WAGE,"WageWorks, Inc.",58.8,2334378934,n/a,United States,2012,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/wage
DIS,Walt Disney Company (The),98.6,1.52187E+11,n/a,United States,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/dis
WFC,Wells Fargo & Company,54.25,2.69294E+11,n/a,United States,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wfc
WFC^L,Wells Fargo & Company,1320,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^l
WFC^O,Wells Fargo & Company,25.04,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^o
WFC^Q,Wells Fargo & Company,27.22,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^q
WFC^R,Wells Fargo & Company,28.89,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^r
WFC^T,Wells Fargo & Company,26.29,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^t
WFC^X,Wells Fargo & Company,25.55,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^x
WFE^A,Wells Fargo & Company,26.43,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfe^a
WFC^J,Wells Fargo & Company,25.49,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^j
WFC^V,Wells Fargo & Company,26.61,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^v
WFC.WS,Wells Fargo & Company,n/a,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc.ws
WFC^P,Wells Fargo & Company,25.16,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^p
WFC^W,Wells Fargo & Company,25.89,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^w
WFC^Y,Wells Fargo & Company,26.05,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^y
WFC^N,Wells Fargo & Company,25,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^n
WAIR,"Wesco Aircraft Holdings, Inc.",9.35,931067044.1,n/a,United States,2011,Capital Goods,Wholesale Distributors,http://www.nasdaq.com/symbol/wair
WMC,Western Asset Mortgage Capital Corporation,10.75,450637860.8,n/a,United States,2012,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/wmc
WSM,"Williams-Sonoma, Inc.",46.78,3981151226,n/a,United States,n/a,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/wsm
